Tweet,Label
"gapapa masih ada besok, ayoo tetap menyerah jangan semangat!! :(",Sad
wkwk sama bangga banget merasa bener nebak jeongwoo walaupun sempet ragu sama bahunya tapi yakin suara jeongwoo,Joy
sedih aa. tahan ngantuk kot,Sad
tolong panik ini melanda lagi,Fear
"rindumu sajak sentuhan. kalimatku pernah pucat pula. sama halnya dengan keriput lengan ibunda; mengelus hangat, sepi kulitku.",Sad
"barakallahu fii umrik dok.. sehat, panjang umur, bahagia dunia dan akhirat. aamiin.",Joy
"happy birthday tapi sedih season ni maybe tiada hadiah silverware with club epl sudah sah jauh ketinggalan. ucl je lah tinggal, itupun kalau mampu.",Sad
semangat ngantornyaa,Joy
nah ini suka banget,Love
gausah kaget kalau tiba2 gue jadi benci sama sodara gue. dasar orang gatau diri. benalu. kacang lupa kulit. bajingan sama sodara sendiri.,Anger
alhamdulillah kayanya enak tuh kak,Joy
"menjalani operasi pada senin, 31 januari. sejak itu, ia menerima perawatan rawat inap dan tes pcrnya negatif sebelum keluar dari rumah sakit. jimin tidak menunjukkan gejala luar biasa selama berada di rumah sakit. dia menderita sakit tenggorokan ringan saat masuk ke rumah sakit+",Neutral
eh anjir woozi takut bgt gue takutt,Fear
hahaha iya benerr aku pun kaget ternyata ujung2nya anak bio,Fear
"6. mata berkunang2, kalau main hp makin stress dan panik dibuatnya (paling kerasa pas siang hari) 7. perasaan ku akan timbul gak enak kalau berada didalam kamar yg berkedap, tapi kalau diluar ruangan yg ada hawa2 anginnya gak ada. justru oke banget. sudah jalan 8 hari.",Neutral
"trus pas pulang, kn aku dianter sma kak yer, nah aku bilang deh ke kak yer.. trus kta kak yer, dikantornya tuh banyak banget yg suka sma kakak, sering ngajak lunch bareng or keluar pas weekend bareng.. tapi ya gitu gk ditanggepin aja malas soalnya",Neutral
"banyak fans tersakiti. entah dr bws atau shipper main couple di series. posisi win sama female lead di series baru jg jadi serba salah. mereka mau deket ke bright nanti dihujat, gak deket dibilang gak ada momen dan itu jg ngebuat fans kecewa.",Sad
semangat mas bogs,Joy
ayang w kemanaasiee sepi bgtt .mingyu,Sad
malu bgt kalo inget moment jaman main rp,Fear
"tapi keselnya sih ya itu, ada pertanyaan dari base yang mewakili gue banget, tapi kok sepi banget, gue udah nungguin padal",Anger
"hai, jinni! cantik banget profilenya. aku lagi suka lagu-lagunya cigarettes after sex sih, apalagi yang ini. kalau kamu akhir-akhir ini lagi suka dengerin apa? btw selamat ya untuk debutnya!",Love
"kalau menurut etika menaiki kereta yang kucari di internet semalam, tidak ada yang melarang tiduran di kompartemen kereta. dia lalu tersenyum. ""asal kau tidak berisik dan mengotori kompartemen, itu saja.""",Neutral
alhamdulillah ga malu,Joy
cuma kaget doang..,Fear
"gue ga kenal anak mipa 3, ga kedengaran kabar nya",Neutral
yg blm gw fb bentar ya aksjsj gue takut limit,Fear
udah biasa ini mah,Neutral
masih kaget tb2 di jepang,Fear
demi tuhan risih banget. twitter ada fitur kayak gini di timeline ih. udh di silang masih suka muncuull,Anger
"baru bangun rumah dh sepi, gatau pada kemana jadi kesepian",Sad
"sabar je, debat sama orang tolol minim edukasi emang ya gitu gabakal ada abisnya",Neutral
"sayang istri liat suka beli baju pesta di ig shop langsung cushh beli baju dehh, enak nya kalau terhubung indihome mempermudah dan memperlancar kebtuhan online",Love
udah deh ngaku aja siapa yang mbeking nih bupati. ga takut dihisab panitia hari akhir tah?,Anger
